38 Provinsi,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (menggunakan UHH hasil SP2020 LF),
,Laki-laki,Perempuan
,2023,2023
ACEH,71.04,75.18
SUMATERA UTARA,71.44,76.01
SUMATERA BARAT,71.75,76.65
RIAU,71.77,76.71
JAMBI,71.55,76.24
SUMATERA SELATAN,71.68,76.52
BENGKULU,71.08,75.25
LAMPUNG,71.77,76.69
KEP. BANGKA BELITUNG,71.59,76.32
KEP. RIAU,72.27,77.67
DKI JAKARTA,73.01,78.75
JAWA BARAT,72.27,77.68
JAWA TENGAH,72.95,77.4
DI YOGYAKARTA,73.48,77.19
JAWA TIMUR,72.24,77.63
BANTEN,72.16,77.51
BALI,72.25,77.64
NUSA TENGGARA BARAT,70.07,74.07
NUSA TENGGARA TIMUR,69.63,73.61
KALIMANTAN BARAT,71.47,76.07
KALIMANTAN TENGAH,71.36,75.83
KALIMANTAN SELATAN,71.64,76.42
KALIMANTAN TIMUR,72.96,76.62
KALIMANTAN UTARA,71.36,75.83
SULAWESI UTARA,71.56,76.26
SULAWESI TENGAH,68.74,72.68
SULAWESI SELATAN,71.41,75.96
SULAWESI TENGGARA,69.84,73.83
GORONTALO,68.58,72.51
SULAWESI BARAT,68.84,72.78
MALUKU,68.53,72.46
MALUKU UTARA,68.84,72.78
PAPUA BARAT,66.57,70.55
PAPUA BARAT DAYA,-,-
PAPUA,66.23,70.21
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,71.61,76.37
