38 Provinsi,
,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi
,2022
ACEH,9.79
SUMATERA UTARA,9.99
SUMATERA BARAT,9.51
RIAU,9.54
JAMBI,9.07
SUMATERA SELATAN,8.82
BENGKULU,9.28
LAMPUNG,8.61
KEP. BANGKA BELITUNG,8.57
KEP. RIAU,10.46
DKI JAKARTA,11.3
JAWA BARAT,9.14
JAWA TENGAH,8.38
DI YOGYAKARTA,10.07
JAWA TIMUR,8.5
BANTEN,9.46
BALI,9.74
NUSA TENGGARA BARAT,8.31
NUSA TENGGARA TIMUR,8.25
KALIMANTAN BARAT,8.1
KALIMANTAN TENGAH,9.03
KALIMANTAN SELATAN,8.89
KALIMANTAN TIMUR,10.13
KALIMANTAN UTARA,9.45
SULAWESI UTARA,9.87
SULAWESI TENGAH,9.17
SULAWESI SELATAN,9.09
SULAWESI TENGGARA,9.59
GORONTALO,8.39
SULAWESI BARAT,8.47
MALUKU,10.37
MALUKU UTARA,9.6
PAPUA BARAT,10.14
PAPUA BARAT DAYA,-
PAPUA,7.31
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,9.08
